"name","rank","position","location","commitCollege","year"
"LEBRON JAMES","1","SG","Akron, OH St. Vincent-St. Mary","Undecided","2003"
"LUOL DENG","2","SF","Blair, NJ Blair Academy","Duke","2003"
"SHANNON BROWN","3","SG","Maywood, IL Proviso East","Michigan State","2003"
"NDUDI EBI","4","PF","Houston, TX Westbury Christian","Arizona","2003"
"CHARLIE VILLANUEVA","5","PF","Brooklyn, NY","Connecticut","2003"
"KENDRICK PERKINS","6","C","Beaumont, TX Ozen","Memphis","2003"
"DAVID PADGETT","7","C","Reno, NV Reno","Kansas","2003"
"JAMES LANG","8","C","Mobile, AL","Undecided","2003"
"BRIAN BUTCH","9","C","Appleton, WI Appleton West","Wisconsin","2003"
"LEON POWE","10","PF","Oakland, CA Oakland Tech Senior","California","2003"
"BRANDON BASS","11","PF","Baton Rouge, LA Capitol","Louisiana State","2003"
"MUSTAFA SHAKUR","12","PG","Philadelphia, PA Friends Select School","Arizona","2003"
"TRAVIS OUTLAW","13","SF","Starkville, MS Starkville","Mississippi St","2003"
"CHRIS PAUL","14","PG","Winston-Salem, NC West Forsyth","Wake Forest","2003"
"KRIS HUMPHRIES","15","PF","Chaska, MN Hopkins","Minnesota","2003"
"OLU FAMUTIMI","16","SG","Toronto, ON","Arkansas","2003"
"LINAS KLEIZA","17","PF","Lithuania,","Missouri","2003"
"TREVOR ARIZA","18","PF","Los Angeles, CA Westchester","UCLA","2003"
"J.R. GIDDENS","19","SF","Oklahoma City, OK John Marshall","Kansas","2003"
"MIKE JONES","20","SG","Dorchester, MA Thayer Academy","Maryland","2003"
"VAKEATON ""VON"" WAFER","21","SF","Lisbon, LA","Florida State","2003"
"REGIS KOUNDJIA","22","SF","Central Africa Republic,","Louisiana State","2003"
"ALEXANDER JOHNSON","23","PF","Albany, GA","Florida State","2003"
"DARRYL WATKINS","24","C","Paterson, NJ Paterson Catholic","Syracuse","2003"
"RODRICK STEWART","25","SG","Seattle, WA Rainier Beach","Kansas","2003"
"ANDREW LAVENDER","26","PG","Columbus, OH Brookhaven","Oklahoma","2003"
"BRANDON COTTON","27","PG","Detroit, MI","Detroit","2003"
"DION HARRIS","28","SG","Detroit, MI Redford","Michigan","2003"
"RONNIE BREWER","29","SG","Fayetteville, AR Fayetteville","Arkansas","2003"
"DEMETRIS NICHOLS","30","SF","Boston, MA","Syracuse","2003"
"RICHARD MCBRIDE","31","SG","Springfield, IL Lanphier","Illinois","2003"
"SEAN BANKS","32","SF","Oradell, NJ Bergen Catholic","Memphis","2003"
"EKENE IBEKWE","33","PF","Carson, CA Carson","Maryland","2003"
"AARON BROOKS","34","PG","Seattle, WA Franklin","Oregon","2003"
"THOMAS GARDNER","35","SG","Portland, OR Jefferson","Missouri","2003"
"COURTNEY SIMS","36","C","Roslindale, MA","Michigan","2003"
"DAMEON MASON","37","SF","Aurora, IL West Aurora","Marquette","2003"
"TACK MINOR","38","PG","Houston, TX Booker T. Washington","Louisiana State","2003"
"MARTIN ITI","39","C","Australia,","Charlotte","2003"
"MOHAMED ABUKAR","40","PF","Escondido, CA Rancho Bernardo","Florida","2003"
"CHRIS TAFT","41","C","Brooklyn, NY Xaverian","Pittsburgh","2003"
"IVAN HARRIS","42","SF","Springfield, OH","Ohio State","2003"
"JACKIE BUTLER","43","C","McComb, MS","Tennessee","2003"
"WESLEY GREEN","44","C","Eustis, FL Eustis","DePaul","2003"
"CHRIS RICHARD","45","PF","Lakeland, FL Kathleen","Florida","2003"
"MARQUIS KATELY","46","SF","San Francisco, CA","California","2003"
"TERRENCE ROBERTS","47","PF","Jersey City, NJ St. Anthony","Syracuse","2003"
"GARY ERVIN","48","PG","Brooklyn, NY","Mississippi St","2003"
"LODRICK STEWART","49","SG","Seattle, WA Rainier Beach","USC","2003"
"CARTIER MARTIN","50","SF","Houston, TX Nimitz","Kansas State","2003"
"DWIGHT BREWINGTON","51","PG","Lynn, MA Worcester Academy","Providence","2003"
"QUINCY DOUBY","52","SG","Brooklyn, NY","Rutgers","2003"
"BRIAN RANDLE","53","SF","Peoria, IL Notre Dame","Illinois","2003"
"JOSH BOONE","54","PF","Sikesville, MD","Connecticut","2003"
"AYINDE UBAKA","55","PG","Oakland, CA Oakland","California","2003"
"OMAR WILKES","56","SG","Los Angeles, CA Loyola","Kansas","2003"
"BRANDON JENKINS","57","PG","Detroit, MI Southeastern","Louisville","2003"
"WILL SHERIDAN JR.","58","PF","Hockessin, DE Sanford School","Villanova","2003"
"TYLER SMITH","59","PG","Baltimore, MD Baltimore Lutheran","DePaul","2003"
"MAJOR WINGATE","60","C","Florence, SC","Tennessee","2003"
"MARCUS WILLIAMS","61","PG","Los Angeles, CA","Connecticut","2003"
"HASSAN FOFANA","62","C","Conkary, Guinea,","Maryland","2003"
"RYAN APPLEBY","63","PG","Stanwood, WA Stanwood","Washington","2003"
"TIM MORRIS","64","SG","Atlanta, GA","Stanford","2003"
"DREW NAYMICK","65","C","Muskegon, MI North Muskegon","Michigan State","2003"
"DARIAN TOWNES","66","PF","Alexander, VA","Arkansas","2003"
"LOUIE MCCROSKEY","67","SG","Bronx, NY St. Raymond's","Syracuse","2003"
"GARY FORBES","68","SF","Brooklyn, NY Benjamin Banneker Academy","Virginia","2003"
"JERMAREO DAVIDSON","69","PF","Stone Mountain, GA Stone Mountain","Alabama","2003"
"MICHAEL NARDI","70","PG","Avenel, NJ","Villanova","2003"
"BRENTON PETWAY","71","PF","McDonough, GA Griffin","Michigan","2003"
"REYSHAWN TERRY","72","SF","Winston-Salem, NC R.J. Reynolds","North Carolina","2003"
